seed,cell_count,success_mean,collision_mean,near_misses_mean,time_to_goal_norm_mean,snqi_mean
116,576,0.529514,0.256944,8.815972,0.799571,-0.231406
111,576,0.534722,0.3125,16.911458,0.830872,-0.277095
117,576,0.545139,0.270833,16.086806,0.817536,-0.267959
113,576,0.574653,0.251736,13.006944,0.803092,-0.239632
112,576,0.578125,0.272569,10.743056,0.794144,-0.221681
115,576,0.585069,0.288194,16.168403,0.795517,-0.251126
114,576,0.590278,0.255208,13.057292,0.792917,-0.245571
119,576,0.592014,0.244792,17.001736,0.800189,-0.26139
118,576,0.605903,0.248264,12.895833,0.785575,-0.243222
120,576,0.614583,0.239583,12.409722,0.771703,-0.225005
