planner_key,algo,human_model_variant,human_model_source,planner_group,kinematics,execution_mode,readiness_status,availability_status,benchmark_success,most_likely_failure_reason,availability_reason,readiness_tier,preflight_status,learned_policy_contract_status,socnav_prereq_policy,status,episodes,commands_evaluated,projection_rate,infeasible_rate,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
goal,goal,,,core,differential_drive,native,native,available,true,,,baseline-ready,ok,not_applicable,fail-fast,ok,1,80,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,1.0000,1.0000,0.0125,0.0071,'-0.4127
goal,goal,,,core,bicycle_drive,native,native,available,true,,,baseline-ready,ok,not_applicable,fail-fast,ok,1,80,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.0000,1.0000,1.0000,0.0125,0.0256,'-0.4297
goal,goal,,,core,holonomic,native,native,available,true,,,baseline-ready,ok,not_applicable,fail-fast,ok,1,80,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0125,0.0035,'-0.1083
orca,orca,,,core,differential_drive,adapter,adapter,available,true,,,baseline-ready,ok,not_applicable,fallback,ok,1,80,0.9750,0.9750,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,1.0000,1.0000,0.0125,0.1006,'-0.1754
orca,orca,,,core,bicycle_drive,adapter,adapter,available,true,,,baseline-ready,ok,not_applicable,fallback,ok,1,80,0.9125,0.9125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0125,0.0513,'-0.1149
orca,orca,,,core,holonomic,adapter,adapter,available,true,,,baseline-ready,ok,not_applicable,fallback,ok,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,1.0000,1.0000,0.0125,0.5651,'-0.5054
ppo,ppo,,,experimental,differential_drive,native,native,available,true,,,experimental,ok,pass,fail-fast,ok,1,80,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0000,1.0000,1.0000,0.0125,0.4318,'-0.3649
ppo,ppo,,,experimental,bicycle_drive,native,native,available,true,,,experimental,ok,pass,fail-fast,ok,1,80,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0125,0.1281,'-0.4017
ppo,ppo,,,experimental,holonomic,native,native,available,true,,,experimental,ok,warn,fail-fast,ok,1,80,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,1.0000,1.0000,0.0125,0.0915,'-0.2914
prediction_planner,prediction_planner,,,experimental,differential_drive,adapter,adapter,available,true,,,experimental,ok,not_applicable,fail-fast,ok,1,80,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0125,0.0624,'-0.1000
prediction_planner,prediction_planner,,,experimental,bicycle_drive,adapter,adapter,available,true,,,experimental,ok,not_applicable,fail-fast,ok,1,80,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0125,0.1054,'-0.1023
prediction_planner,prediction_planner,,,experimental,holonomic,adapter,adapter,available,true,,,experimental,ok,not_applicable,fail-fast,ok,1,80,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0125,0.0786,'-0.1004
sacadrl,sacadrl,,,experimental,differential_drive,adapter,adapter,available,true,,,experimental,ok,not_applicable,fallback,ok,1,80,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,1.0000,1.0000,0.1000,0.0295,'-0.4623
sacadrl,sacadrl,,,experimental,bicycle_drive,adapter,adapter,available,true,,,experimental,ok,not_applicable,fallback,ok,1,80,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,41.0000,1.0000,1.0000,0.0958,0.0450,'-0.4926
sacadrl,sacadrl,,,experimental,holonomic,adapter,adapter,available,true,,,experimental,ok,not_applicable,fallback,ok,1,80,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.0000,1.0000,1.0000,0.0125,0.0298,'-0.4092
social_force,social_force,,,core,differential_drive,adapter,adapter,available,true,,,baseline-ready,ok,not_applicable,fail-fast,ok,1,80,0.1500,0.1500,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,1.0000,1.0000,0.0125,0.1260,'-0.2663
social_force,social_force,,,core,bicycle_drive,adapter,adapter,available,true,,,baseline-ready,ok,not_applicable,fail-fast,ok,1,80,0.2750,0.2750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0125,0.0839,'-0.1290
social_force,social_force,,,core,holonomic,adapter,adapter,available,true,,,baseline-ready,ok,not_applicable,fail-fast,ok,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,1.0000,1.0000,0.0125,0.2073,'-0.4121
socnav_sampling,socnav_sampling,,,experimental,differential_drive,adapter,adapter,available,true,,,experimental,ok,not_applicable,skip-with-warning,ok,1,76,1.0000,1.0000,0.0000,1.0000,0.0000,1.0000,1.0000,5.0000,1.0000,1.0000,0.0132,0.0198,'-0.2810
socnav_sampling,socnav_sampling,,,experimental,bicycle_drive,adapter,adapter,available,true,,,experimental,ok,not_applicable,skip-with-warning,ok,1,80,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0125,0.0331,'-0.1085
socnav_sampling,socnav_sampling,,,experimental,holonomic,adapter,adapter,available,true,,,experimental,ok,not_applicable,skip-with-warning,ok,1,80,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0125,0.0000,'-0.1000
