claim_id,claim_family,rank_metric,higher_rank_planner,lower_rank_planner,higher_rank,lower_rank,higher_mean,higher_ci_low,higher_ci_high,lower_mean,lower_ci_low,lower_ci_high,mean_delta,decision,rationale
constraints_first_success_adjacent_01,constraints_first_success,success,hybrid_rule_v3_fast_progress_static_escape,scenario_adaptive_hybrid_orca_v1,1,2,0.7531249999999999,0.7218749999999999,0.7833333333333333,0.7489583333333333,0.71875,0.778125,0.004166666666666652,not_statistically_distinguishable_budget,Adjacent 95% bootstrap confidence intervals overlap at S20.
constraints_first_success_adjacent_02,constraints_first_success,success,scenario_adaptive_hybrid_orca_v1,ppo,2,3,0.7489583333333333,0.71875,0.778125,0.7072916666666667,0.6864583333333334,0.7281249999999999,0.04166666666666663,not_statistically_distinguishable_budget,Adjacent 95% bootstrap confidence intervals overlap at S20.
constraints_first_success_adjacent_03,constraints_first_success,success,ppo,orca,3,4,0.7072916666666667,0.6864583333333334,0.7281249999999999,0.64375,0.61875,0.6677083333333333,0.06354166666666661,ci_separable,Adjacent 95% bootstrap confidence intervals do not overlap at S20.
constraints_first_success_adjacent_04,constraints_first_success,success,orca,prediction_planner,4,5,0.64375,0.61875,0.6677083333333333,0.4072916666666667,0.3770833333333333,0.43856770833333325,0.23645833333333333,ci_separable,Adjacent 95% bootstrap confidence intervals do not overlap at S20.
constraints_first_success_adjacent_05,constraints_first_success,success,prediction_planner,socnav_sampling,5,6,0.4072916666666667,0.3770833333333333,0.43856770833333325,0.30000000000000004,0.275,0.32398437499999994,0.10729166666666667,ci_separable,Adjacent 95% bootstrap confidence intervals do not overlap at S20.
constraints_first_success_adjacent_06,constraints_first_success,success,socnav_sampling,sacadrl,6,7,0.30000000000000004,0.275,0.32398437499999994,0.05416666666666666,0.04479166666666667,0.06354166666666668,0.24583333333333338,ci_separable,Adjacent 95% bootstrap confidence intervals do not overlap at S20.
constraints_first_success_adjacent_07,constraints_first_success,success,sacadrl,goal,7,8,0.05416666666666666,0.04479166666666667,0.06354166666666668,0.0375,0.02395833333333333,0.051041666666666666,0.016666666666666663,not_statistically_distinguishable_budget,Adjacent 95% bootstrap confidence intervals overlap at S20.
constraints_first_success_adjacent_08,constraints_first_success,success,goal,social_force,8,9,0.0375,0.02395833333333333,0.051041666666666666,0.005208333333333333,0.0010416666666666667,0.010416666666666668,0.03229166666666666,ci_separable,Adjacent 95% bootstrap confidence intervals do not overlap at S20.
snqi_nominal_adjacent_01,snqi_diagnostic,snqi,scenario_adaptive_hybrid_orca_v1,hybrid_rule_v3_fast_progress_static_escape,1,2,-0.15423428427704716,-0.16807175296139465,-0.13936675296298992,-0.15629768056303633,-0.17172782357886232,-0.14034343990335857,0.002063396285989172,diagnostic_only,SNQI is explanatory only for this packet: SNQI contract_status=fail enforcement=warn rank_alignment_spearman=-0.19999999999999998.
snqi_nominal_adjacent_02,snqi_diagnostic,snqi,hybrid_rule_v3_fast_progress_static_escape,ppo,2,3,-0.15629768056303633,-0.17172782357886232,-0.14034343990335857,-0.19869065786646367,-0.21202071904514014,-0.1857056162475662,0.04239297730342734,diagnostic_only,SNQI is explanatory only for this packet: SNQI contract_status=fail enforcement=warn rank_alignment_spearman=-0.19999999999999998.
snqi_nominal_adjacent_03,snqi_diagnostic,snqi,ppo,prediction_planner,3,4,-0.19869065786646367,-0.21202071904514014,-0.1857056162475662,-0.21137028571244615,-0.22186739779952797,-0.19986389316541928,0.012679627845982477,diagnostic_only,SNQI is explanatory only for this packet: SNQI contract_status=fail enforcement=warn rank_alignment_spearman=-0.19999999999999998.
snqi_nominal_adjacent_04,snqi_diagnostic,snqi,prediction_planner,socnav_sampling,4,5,-0.21137028571244615,-0.22186739779952797,-0.19986389316541928,-0.22210262731425118,-0.23381102133368528,-0.21075006365158283,0.010732341601805029,diagnostic_only,SNQI is explanatory only for this packet: SNQI contract_status=fail enforcement=warn rank_alignment_spearman=-0.19999999999999998.
snqi_nominal_adjacent_05,snqi_diagnostic,snqi,socnav_sampling,goal,5,6,-0.22210262731425118,-0.23381102133368528,-0.21075006365158283,-0.28410684875843584,-0.29295584826270044,-0.2756717255291212,0.06200422144418466,diagnostic_only,SNQI is explanatory only for this packet: SNQI contract_status=fail enforcement=warn rank_alignment_spearman=-0.19999999999999998.
snqi_nominal_adjacent_06,snqi_diagnostic,snqi,goal,orca,6,7,-0.28410684875843584,-0.29295584826270044,-0.2756717255291212,-0.3055808061393109,-0.3286645244827942,-0.28264996104936774,0.02147395738087504,diagnostic_only,SNQI is explanatory only for this packet: SNQI contract_status=fail enforcement=warn rank_alignment_spearman=-0.19999999999999998.
snqi_nominal_adjacent_07,snqi_diagnostic,snqi,orca,sacadrl,7,8,-0.3055808061393109,-0.3286645244827942,-0.28264996104936774,-0.4508342170759705,-0.4690442830048475,-0.43264570564124116,0.1452534109366596,diagnostic_only,SNQI is explanatory only for this packet: SNQI contract_status=fail enforcement=warn rank_alignment_spearman=-0.19999999999999998.
snqi_nominal_adjacent_08,snqi_diagnostic,snqi,sacadrl,social_force,8,9,-0.4508342170759705,-0.4690442830048475,-0.43264570564124116,-0.8572608073178486,-0.8673738698678322,-0.8465071986265446,0.4064265902418781,diagnostic_only,SNQI is explanatory only for this packet: SNQI contract_status=fail enforcement=warn rank_alignment_spearman=-0.19999999999999998.
