checkpoint,variant,scope,episodes,success_rate,mean_min_distance,pass_success_rate,pass_min_distance
predictive_proxy_selected_v1,baseline,hard,7,0.0,2.193,True,True
predictive_proxy_selected_v1,baseline,robusta,60,0.083,2.836,True,True
predictive_proxy_selected_v1,combined_max_authority,hard,7,0.0,2.064,True,True
predictive_proxy_selected_v1,deep_sequence,hard,7,0.0,2.058,True,True
predictive_proxy_selected_v1,dense_lattice,hard,7,0.0,2.172,True,True
predictive_proxy_selected_v1,high_angular,hard,7,0.0,2.268,True,True
predictive_proxy_selected_v1,nearfield_turn,hard,7,0.143,2.165,True,True
predictive_proxy_selected_v1,nearfield_turn,robusta,60,0.1,2.815,True,True
predictive_proxy_selected_v1,nf_headings_only,robusta,60,0.083,2.836,True,True
predictive_proxy_selected_v1,nf_horizonboost_only,robusta,60,0.083,2.836,True,True
predictive_proxy_selected_v1,nf_speedcap_only,robusta,60,0.1,2.815,True,True
predictive_proxy_selected_v2_full,baseline,hard,7,0.0,2.142,True,True
predictive_proxy_selected_v2_full,baseline,robusta,60,0.083,2.785,True,True
predictive_proxy_selected_v2_full,combined_max_authority,hard,7,0.0,2.015,True,True
predictive_proxy_selected_v2_full,deep_sequence,hard,7,0.0,2.001,True,True
predictive_proxy_selected_v2_full,dense_lattice,hard,7,0.0,2.142,True,True
predictive_proxy_selected_v2_full,high_angular,hard,7,0.0,2.217,True,True
predictive_proxy_selected_v2_full,nearfield_turn,hard,7,0.143,2.142,True,True
predictive_proxy_selected_v2_full,nearfield_turn,robusta,60,0.1,2.775,True,True
predictive_proxy_selected_v2_full,nf_headings_only,robusta,60,0.083,2.785,True,True
predictive_proxy_selected_v2_full,nf_horizonboost_only,robusta,60,0.083,2.785,True,True
predictive_proxy_selected_v2_full,nf_speedcap_only,robusta,60,0.1,2.775,True,True
predictive_rgl_full_v1,baseline,robusta,60,0.067,2.818,True,True
predictive_rgl_full_v1,nearfield_turn,robusta,60,0.1,2.795,True,True
predictive_rgl_full_v1,nf_headings_only,robusta,60,0.067,2.818,True,True
predictive_rgl_full_v1,nf_horizonboost_only,robusta,60,0.067,2.818,True,True
predictive_rgl_full_v1,nf_speedcap_only,robusta,60,0.1,2.795,True,True
sweep_h192_mp3_s7_wd5e5,baseline,robusta,60,0.083,2.83,True,True
sweep_h192_mp3_s7_wd5e5,nearfield_turn,robusta,60,0.1,2.812,True,True
sweep_h192_mp3_s7_wd5e5,nf_headings_only,robusta,60,0.083,2.83,True,True
sweep_h192_mp3_s7_wd5e5,nf_horizonboost_only,robusta,60,0.083,2.83,True,True
sweep_h192_mp3_s7_wd5e5,nf_speedcap_only,robusta,60,0.1,2.812,True,True
sweep_h256_mp4_s42,baseline,robusta,60,0.067,2.808,True,True
sweep_h256_mp4_s42,nearfield_turn,robusta,60,0.117,2.754,True,True
sweep_h256_mp4_s42,nf_headings_only,robusta,60,0.067,2.808,True,True
sweep_h256_mp4_s42,nf_horizonboost_only,robusta,60,0.067,2.808,True,True
sweep_h256_mp4_s42,nf_speedcap_only,robusta,60,0.117,2.754,True,True
