pair,metric,delta_point,sc_ci_lo,sc_ci_hi,sc_excl0,sb_ci_lo,sb_ci_hi,sb_excl0
hybrid_rule_v3_fast_progress_static_escape_vs_orca,success,+0.0792,+0.0042,+0.1569,True,+0.0521,+0.1063,True
hybrid_rule_v3_fast_progress_static_escape_vs_orca,collision,-0.0778,-0.1667,+0.0125,False,-0.1021,-0.0549,True
hybrid_rule_v3_fast_progress_static_escape_vs_orca,snqi,+0.1417,+0.0752,+0.2197,True,+0.1236,+0.1598,True
hybrid_rule_v3_fast_progress_static_escape_continuous_vs_orca,success,+0.0910,+0.0243,+0.1625,True,+0.0646,+0.1167,True
hybrid_rule_v3_fast_progress_static_escape_continuous_vs_orca,collision,-0.1347,-0.2174,-0.0549,True,-0.1590,-0.1097,True
hybrid_rule_v3_fast_progress_static_escape_continuous_vs_orca,snqi,+0.1147,+0.0480,+0.1912,True,+0.0952,+0.1348,True
scenario_adaptive_hybrid_orca_v1_vs_orca,success,+0.0729,-0.0007,+0.1493,False,+0.0465,+0.1000,True
scenario_adaptive_hybrid_orca_v1_vs_orca,collision,-0.0681,-0.1535,+0.0194,False,-0.0931,-0.0438,True
scenario_adaptive_hybrid_orca_v1_vs_orca,snqi,+0.1437,+0.0775,+0.2214,True,+0.1263,+0.1612,True
scenario_adaptive_hybrid_orca_v2_collision_guard_vs_orca,success,+0.0729,+0.0000,+0.1493,False,+0.0458,+0.1000,True
scenario_adaptive_hybrid_orca_v2_collision_guard_vs_orca,collision,-0.0722,-0.1590,+0.0160,False,-0.0972,-0.0479,True
scenario_adaptive_hybrid_orca_v2_collision_guard_vs_orca,snqi,+0.1406,+0.0739,+0.2184,True,+0.1231,+0.1583,True
ppo_vs_orca,success,+0.0368,-0.0590,+0.1361,False,+0.0111,+0.0618,True
ppo_vs_orca,collision,-0.0187,-0.1271,+0.0896,False,-0.0438,+0.0069,False
ppo_vs_orca,snqi,+0.1048,+0.0436,+0.1764,True,+0.0875,+0.1225,True
ppo_vs_hybrid_rule_v3_fast_progress_static_escape_continuous,success,-0.0542,-0.1535,+0.0403,False,-0.0806,-0.0271,True
ppo_vs_hybrid_rule_v3_fast_progress_static_escape_continuous,collision,+0.1160,+0.0201,+0.2181,True,+0.0958,+0.1361,True
ppo_vs_hybrid_rule_v3_fast_progress_static_escape_continuous,snqi,-0.0100,-0.0648,+0.0450,False,-0.0264,+0.0072,False
