scenario_id,seed,planner,arm,response_law_fraction,mean_clearance_m,cvar_clearance_m
issue_3574_classic_crossing_density_002,101,goal,heterogeneous,0.0,17.4056,4.6504
issue_3574_classic_crossing_density_002,101,goal,mean_matched_homogeneous,0.0,16.5518,4.1272
issue_3574_classic_crossing_density_002,102,goal,heterogeneous,0.0,12.7987,2.5869
issue_3574_classic_crossing_density_002,102,goal,mean_matched_homogeneous,0.0,12.7987,2.5814
issue_3574_classic_crossing_density_002,103,goal,heterogeneous,0.0,12.4586,1.8018
issue_3574_classic_crossing_density_002,103,goal,mean_matched_homogeneous,0.0,11.2162,2.2426
issue_3574_classic_crossing_density_002,101,social_force,heterogeneous,0.0,13.4341,5.6200
issue_3574_classic_crossing_density_002,101,social_force,mean_matched_homogeneous,0.0,12.3858,8.2404
issue_3574_classic_crossing_density_002,102,social_force,heterogeneous,0.0,12.7980,2.5865
issue_3574_classic_crossing_density_002,102,social_force,mean_matched_homogeneous,0.0,12.7980,2.5809
issue_3574_classic_crossing_density_002,103,social_force,heterogeneous,0.0,11.6950,2.0991
issue_3574_classic_crossing_density_002,103,social_force,mean_matched_homogeneous,0.0,11.6613,2.3263
issue_3574_classic_crossing_density_002,101,orca,heterogeneous,0.0,16.4180,6.4812
issue_3574_classic_crossing_density_002,101,orca,mean_matched_homogeneous,0.0,15.5428,7.5605
issue_3574_classic_crossing_density_002,102,orca,heterogeneous,0.0,12.7981,2.5865
issue_3574_classic_crossing_density_002,102,orca,mean_matched_homogeneous,0.0,12.7980,2.5810
issue_3574_classic_crossing_density_002,103,orca,heterogeneous,0.0,11.0159,4.3400
issue_3574_classic_crossing_density_002,103,orca,mean_matched_homogeneous,0.0,10.4197,4.8108
issue_3574_classic_crossing_density_002,101,goal,heterogeneous,0.1,17.4056,4.6504
issue_3574_classic_crossing_density_002,101,goal,mean_matched_homogeneous,0.1,16.5518,4.1272
issue_3574_classic_crossing_density_002,102,goal,heterogeneous,0.1,12.7987,2.5869
issue_3574_classic_crossing_density_002,102,goal,mean_matched_homogeneous,0.1,12.7987,2.5814
issue_3574_classic_crossing_density_002,103,goal,heterogeneous,0.1,12.4572,1.7965
issue_3574_classic_crossing_density_002,103,goal,mean_matched_homogeneous,0.1,11.2175,2.2454
issue_3574_classic_crossing_density_002,101,social_force,heterogeneous,0.1,13.5069,5.5948
issue_3574_classic_crossing_density_002,101,social_force,mean_matched_homogeneous,0.1,12.3865,8.2442
issue_3574_classic_crossing_density_002,102,social_force,heterogeneous,0.1,12.7980,2.5865
issue_3574_classic_crossing_density_002,102,social_force,mean_matched_homogeneous,0.1,12.7980,2.5809
issue_3574_classic_crossing_density_002,103,social_force,heterogeneous,0.1,11.7011,2.1018
issue_3574_classic_crossing_density_002,103,social_force,mean_matched_homogeneous,0.1,11.6662,2.3310
issue_3574_classic_crossing_density_002,101,orca,heterogeneous,0.1,16.4180,6.4812
issue_3574_classic_crossing_density_002,101,orca,mean_matched_homogeneous,0.1,15.5428,7.5605
issue_3574_classic_crossing_density_002,102,orca,heterogeneous,0.1,12.7981,2.5865
issue_3574_classic_crossing_density_002,102,orca,mean_matched_homogeneous,0.1,12.7980,2.5810
issue_3574_classic_crossing_density_002,103,orca,heterogeneous,0.1,11.0188,4.3400
issue_3574_classic_crossing_density_002,103,orca,mean_matched_homogeneous,0.1,10.4220,4.8108
issue_3574_classic_crossing_density_002,101,goal,heterogeneous,0.25,19.2069,4.8908
issue_3574_classic_crossing_density_002,101,goal,mean_matched_homogeneous,0.25,18.2303,4.4345
issue_3574_classic_crossing_density_002,102,goal,heterogeneous,0.25,12.7987,2.5869
issue_3574_classic_crossing_density_002,102,goal,mean_matched_homogeneous,0.25,12.7987,2.5814
issue_3574_classic_crossing_density_002,103,goal,heterogeneous,0.25,12.4572,1.7965
issue_3574_classic_crossing_density_002,103,goal,mean_matched_homogeneous,0.25,11.2175,2.2454
issue_3574_classic_crossing_density_002,101,social_force,heterogeneous,0.25,13.4154,5.3467
issue_3574_classic_crossing_density_002,101,social_force,mean_matched_homogeneous,0.25,13.0989,4.2746
issue_3574_classic_crossing_density_002,102,social_force,heterogeneous,0.25,12.7980,2.5865
issue_3574_classic_crossing_density_002,102,social_force,mean_matched_homogeneous,0.25,12.7980,2.5809
issue_3574_classic_crossing_density_002,103,social_force,heterogeneous,0.25,11.7011,2.1018
issue_3574_classic_crossing_density_002,103,social_force,mean_matched_homogeneous,0.25,11.6662,2.3310
issue_3574_classic_crossing_density_002,101,orca,heterogeneous,0.25,22.0755,5.1467
issue_3574_classic_crossing_density_002,101,orca,mean_matched_homogeneous,0.25,21.2077,4.9317
issue_3574_classic_crossing_density_002,102,orca,heterogeneous,0.25,12.7981,2.5865
issue_3574_classic_crossing_density_002,102,orca,mean_matched_homogeneous,0.25,12.7980,2.5810
issue_3574_classic_crossing_density_002,103,orca,heterogeneous,0.25,11.0063,4.3138
issue_3574_classic_crossing_density_002,103,orca,mean_matched_homogeneous,0.25,10.4180,4.7827
issue_3574_classic_crossing_density_002,101,goal,heterogeneous,0.5,19.2069,4.8908
issue_3574_classic_crossing_density_002,101,goal,mean_matched_homogeneous,0.5,18.2303,4.4345
issue_3574_classic_crossing_density_002,102,goal,heterogeneous,0.5,12.7983,2.5855
issue_3574_classic_crossing_density_002,102,goal,mean_matched_homogeneous,0.5,12.7983,2.5799
issue_3574_classic_crossing_density_002,103,goal,heterogeneous,0.5,12.4040,1.5837
issue_3574_classic_crossing_density_002,103,goal,mean_matched_homogeneous,0.5,11.1789,2.2252
issue_3574_classic_crossing_density_002,101,social_force,heterogeneous,0.5,13.4153,5.3467
issue_3574_classic_crossing_density_002,101,social_force,mean_matched_homogeneous,0.5,13.1091,4.2708
issue_3574_classic_crossing_density_002,102,social_force,heterogeneous,0.5,12.7977,2.5851
issue_3574_classic_crossing_density_002,102,social_force,mean_matched_homogeneous,0.5,12.7977,2.5795
issue_3574_classic_crossing_density_002,103,social_force,heterogeneous,0.5,11.6412,1.9994
issue_3574_classic_crossing_density_002,103,social_force,mean_matched_homogeneous,0.5,11.6100,2.2351
issue_3574_classic_crossing_density_002,101,orca,heterogeneous,0.5,22.0755,5.1467
issue_3574_classic_crossing_density_002,101,orca,mean_matched_homogeneous,0.5,21.2077,4.9317
issue_3574_classic_crossing_density_002,102,orca,heterogeneous,0.5,12.7977,2.5851
issue_3574_classic_crossing_density_002,102,orca,mean_matched_homogeneous,0.5,12.7977,2.5795
issue_3574_classic_crossing_density_002,103,orca,heterogeneous,0.5,11.2424,3.7013
issue_3574_classic_crossing_density_002,103,orca,mean_matched_homogeneous,0.5,10.3853,4.7774
